,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
10,"S. Lawton, ","""Atopic eczema research: an update."", ",British journal of nursing (Mark Allen Publishing) ,27(11) ,(Jun. 2018). ,PUBMED: 29894268; ,DOI 10.12968/bjon.2018.27.11.594.,
11,"RG. Sibbald, ","""Hand eczema."", ",Ostomy/wound management ,44(8) ,(Aug. 1998). ,PUBMED: 9782961; ,,"Hand eczema is a common disorder of healthcare providers. The pattern of eczema can help to distinguish endogenous (dyshidrosis, atopy) causes from exogenous (contact irritant and allergic dermatitis) and the common differential diagnoses (psoriasis, fungus infections). Appropriate strength topical steroids, moisturizers, antibacterials, and systemic agents are all used to treat hand eczema depending on the type of eczema and its severity. Patients with contact allergic eczema should be assessed for possible latex allergy."
12,"CF. Dietrich and F. Hoch, ","""Anal eczema."", ",Therapeutische Umschau. Revue therapeutique ,78(9) ,(2021). ,PUBMED: 34704478; ,DOI 10.1024/0040-5930/a001303.,"Anal eczema Abstract. In this article, the allergic contact eczema, atopic skin changes, irritative-toxic and vulgar eczema as well as psoriasis inversa are described and illustrated and the associated anamnestic and past medical history information. Furthermore, the pathogen-related perianal streptococcal dermatitis (PSD) and the perianal candidiasis are described."
13,,"""Emollients to Prevent Eczema in High-Risk Infants: Integrative Review."", ",MCN. The American journal of maternal child nursing ,47(3) ,,PUBMED: 35475933; ,DOI 10.1097/NMC.0000000000000822.,
14,"M. Santer, S. Lewis-Jones and T. Fahey, ","""Childhood eczema."", ",BMJ (Clinical research ed.) ,331(7515) ,(Sep. 2005). ,PUBMED: 16141156; ,,
15,,"""Eczema."", ",American family physician ,86(1) ,(Jul. 2012). ,PUBMED: 22962919; ,,
16,"J. Peters, ","""Managing eczema."", ",Nursing times ,107(47) ,,PUBMED: 22220390; ,,"Eczema is an extremely common condition, with atopic eczema affecting at least 10% of infants at some stage. Nurses have a vital role in supporting patients and families by providing information about the condition and explaining the correct technique for applying topical medication. This article describes the different types of eczema and discusses the principles of care. Although treatment plans vary depending on the type of eczema, the underlying principles are the same."
17,"J. Thompson, ","""Eczema."", ",Community outlook ,,(Aug. 1990). ,PUBMED: 2383979; ,,
18,"V. Mahler and H. Dickel, ","""Most important contact allergens in hand eczema."", ","Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete ",70(10) ,(Oct. 2019). ,PUBMED: 31506756; ,DOI 10.1007/s00105-019-04472-7.,"The head and hands are the two most common locations for allergic contact dermatitis manifestation. In hand eczema, contact with a contact allergen is a frequent (co-)factor in the triggering and maintenance of eczema. For all hand eczemas lasting longer than 3 months, an allergological examination by means of patch testing is recommended. In patients with allergic contact dermatitis of the hands, nickel, MCI/MI, fragrance mix I, cobalt, thiuram mix, Balsam of Peru, chromium and fragrance mix II have been described in a multicenter European study as the most common contact allergens of the standard series. In the information network of dermatological clinics (IVDK) a total of 56,170 patients were patch-tested in the years 2014 to 2018. In all, 16,807 of these patients (29.9%) suffered from hand eczema, of which 7725 (46.0%) had occupational dermatosis (OD) and 6820 (40.6%) had no OD. For the remaining patients this was unknown. The top 30-list of allergens in hand eczema patients without and with OD included 22 common contact allergens, but with different reaction frequency. In hand eczema patients without OD, the following contact allergens also belong to this list: octyl gallate, sorbic acid, tert-butylhydroquinone, propylene glycol, mercury (II) amide chloride, tolubalsam, jasmine absolute, and sandalwood oil. For hand eczema patients with OD, these are instead: tetramethylthiurammonosulfide, tetramethylthiuramdisulfide, 1,3-diphenylguanidine, p‑phenylenediamine, p‑toluylenediamine, iodopropinylbutylcarbamate, glutaraldehyde, and monoethanolamine. In the case of OD of the hands, early involvement of the responsible statutory accident insurance by initiating the dermatologist procedure (""Hautarztverfahren"") is necessary in order to work together towards successful allergen avoidance by means of substitution and optimizing personal protective equiment."
19,"A. Bennett, ","""Managing eczema and dermatitis."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,13(42) ,,PUBMED: 10524112; ,,
20,"S. Burr, ","""Assessment and management of eczema in adults in the community setting."", ",British journal of community nursing ,24(3) ,(Mar. 2019). ,PUBMED: 30817210; ,DOI 10.12968/bjcn.2019.24.3.110.,
21,"M. Weingarten and N. Silverberg, ","""Follicular eczema and accentuation: A survey of published data."", ",Journal of the American Academy of Dermatology ,87(4) ,(Oct. 2022). ,PUBMED: 34808325; ,DOI 10.1016/j.jaad.2021.11.008.,
22,"A. Bartlett, ","""Adult eczema."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,24(43) ,,PUBMED: 20669698; ,,
23,"M. Halberg, ","""Nummular eczema."", ",The Journal of emergency medicine ,43(5) ,(Nov. 2012). ,PUBMED: 21719233; ,DOI 10.1016/j.jemermed.2011.05.031.,
24,"F. Spada, IP. Harrison, TM. Barnes, KA. Greive, D. Daniels, JP. Townley, N. Mostafa, AT. Fong, PL. Tong and S. Shumack, ","""A daily regimen of a ceramide-dominant moisturizing cream and cleanser restores the skin permeability barrier in adults with moderate eczema: A randomized trial."", ",Dermatologic therapy ,34(4) ,(Jul. 2021). ,PUBMED: 33984185; ,DOI 10.1111/dth.14970.,"The dysfunctional skin barrier in eczema patients may be attributed to decreased levels of ceramides in the stratum corneum. The aim of this study was to determine whether a two-part system consisting of a ceramide-dominant physiological lipid-based moisturizing cream and cleanser could ameliorate the signs and symptoms of moderate eczema in adults over 28 days compared to placebo. Assessments were conducted at baseline and every 7 days thereafter. Eczema area severity index score decreased significantly across all time points in both groups compared to baseline (P < .0001), however, this decrease was not significant between groups at day 28 (P = .7804). In contrast, transepidermal water loss and skin hydration significantly improved over time in the active group, while it either stayed the same or worsened in the placebo group (P = .0342 and P < .0001, respectively). There was no difference in the use of mometasone furoate as rescue medication over time between groups (P = .1579). Dermatology life quality index scores improved significantly in both groups (P < .0001), with no difference between groups (P = .5256). However, patient satisfaction was greater in the active compared to the placebo group for several parameters including relief of itch, dry skin, skin softness and smoothness (all P < .05). No patients withdrew from the study due to adverse events (AEs) and there were no serious AEs. The ceramide-dominant moisturizing cream and cleanser safely restores skin permeability and improves the signs and symptoms of eczema in adults."
25,"T. Mooney, ","""Children with eczema."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,30(41) ,(Jun. 2016). ,PUBMED: 27286627; ,DOI 10.7748/ns.30.41.61.s46.,"As a nurse practitioner at a GP surgery, I frequently encounter children who have eczema."
26,"JM. Biagini Myers and GK. Khurana Hershey, ","""Eczema in early life: genetics, the skin barrier, and lessons learned from birth cohort studies."", ",The Journal of pediatrics ,157(5) ,(Nov. 2010). ,PUBMED: 20739029; ,DOI 10.1016/j.jpeds.2010.07.009.,"Eczema is a chronic inflammatory disorder of the skin that affects up to 30% of children. It often afflicts infants in the first few months of life and can be the first indicator of the atopic march. Recent results from birth cohort studies have uncovered novel information regarding genetic and environmental factors that promote the development of eczema. Birth cohort studies provide an optimal study design to elucidate these associations and prospectively track longitudinal data including exposure assessment and health outcomes from birth into early life and childhood. This is especially relevant for eczema given the age specific emergence of this disease. In this review, we will provide a general overview of pediatric eczema and discuss the important findings in the literature with respect to genetics and environmental exposures, highlighting those derived from birth cohort studies. Additionally, we will review how these relate to the atopic march, the hygiene hypothesis and the integrity of the skin barrier."
27,"M. Rademaker, K. Armour, C. Baker, P. Foley, K. Gebauer, M. Gupta, G. Marshman, A. O'Connor, D. Rubel, J. Sullivan and LC. Wong, ","""Management of chronic hand and foot eczema. An Australia/New Zealand Clinical narrative."", ",The Australasian journal of dermatology ,62(1) ,(Feb. 2021). ,PUBMED: 32776537; ,DOI 10.1111/ajd.13418.,"Chronic hand/foot eczemas are common, but treatment is often challenging, with widespread dissatisfaction over current available options. Detailed history is important, particularly with regard to potential exposure to irritants and allergens. Patch testing should be regarded as a standard investigation. Individual treatment outcomes and targets, including systemic therapy, should be discussed early with patients, restoring function being the primary goal, with clearing the skin a secondary outcome. Each new treatment, where appropriate, should be considered additive or overlapping to any previous therapy. Management extends beyond mere pharmacological or physical treatment, and requires an encompassing approach including removal or avoidance of causative factors, behavioural changes and social support. To date, there is little evidence to guide sequences or combinations of therapies. Moderately symptomatic patients (e.g. DLQI ≥ 10) should be started on a potent/super-potent topical corticosteroid applied once or twice per day for 4 weeks, with tapering to twice weekly application. If response is inadequate, consider phototherapy, and then a 12-week trial of a retinoid (alitretinoin or acitretin). Second line systemic treatments include methotrexate, ciclosporin and azathioprine. For patients presenting with severe symptomatic disease (DLQI ≥ 15), consider predniso(lo)ne 0.5-1.0 mg/kg/day (or ciclosporin 3 - 5 mg/kg/day) for 4-6 weeks with tapering, and then treating as for moderate disease as above. In non-responders, botulinum toxin and/or iontophoresis, if associated with hyperhidrosis, may sometimes help. Some patients only respond to long-term systemic corticosteroids. The data on sequencing of newer agents, such as dupilumab or JAK inhibitors, are immature."
28,"YH. Wang, ","""Eczema has different effects on the psychological state of patients depending on the site affected."", ",Clinical and experimental dermatology ,47(1) ,(Jan. 2022). ,PUBMED: 34411316; ,DOI 10.1111/ced.14902.,
29,"A. Om, ","""Eczema's Big Break in Hollywood."", ",JAMA dermatology ,154(2) ,(Feb. 2018). ,PUBMED: 29450557; ,DOI 10.1001/jamadermatol.2017.5236.,
30,"CX. Chan and KA. Zug, ","""Diagnosis and Management of Dermatitis, Including Atopic, Contact, and Hand Eczemas."", ",The Medical clinics of North America ,105(4) ,(Jul. 2021). ,PUBMED: 34059241; ,DOI 10.1016/j.mcna.2021.04.003.,"This is a comprehensive and current guide for the diagnosis, differential diagnosis, treatment, and management of eczematous dermatitis, with a focus on atopic dermatitis, irritant and allergic contact dermatitis, hand dermatitis including recurrent vesicular and hyperkeratotic types, asteatotic dermatitis, and nummular or discoid dermatitis. Diagnostic options highlighted are clinical history, physical examination, and patch testing. Therapeutic options highlighted are moisturizers, topical corticosteroids, topical calcineurin inhibitors, crisaborole, phototherapy, and systemic medications including biologics."
31,"T. Yamamoto, ","""Nummular eczema and isomorphic Koebner response."", ",Clinical and experimental dermatology ,45(5) ,(Jul. 2020). ,PUBMED: 32064654; ,DOI 10.1111/ced.14195.,
32,"N. Stollery, ","""Eczema."", ",The Practitioner ,253(1717) ,(Apr. 2009). ,PUBMED: 19462745; ,,
33,"SM. Langan, J. Schmitt, HC. Williams, S. Smith and KS. Thomas, ","""How are eczema 'flares' defined? A systematic review and recommendation for future studies."", ",The British journal of dermatology ,170(3) ,(Mar. 2014). ,PUBMED: 24266741; ,DOI 10.1111/bjd.12747.,"Eczema is an important public health problem due to high prevalence and associated morbidity. As a chronic, relapsing disease, the ability to capture disease flares is important when evaluating treatment success, yet it is unclear how flares should be defined. This study systematically reviews and critically appraises the literature defining flares in eczema, and explores methodological and practical aspects of including eczema flares as outcome measures in trials to inform developing an international consensus definition adding details of our own recent experience. A systematic review was undertaken of flare definitions in prospective intervention studies of eczema published up until 14 February 2013. Data were double-extracted. We pre-specified that important characteristics of a good flare definition should include (i) being feasible to collect and (ii) being recorded at the time flare symptoms were experienced. Three hundred and fourteen papers were identified of which 26 included some description of eczema flares. Overall, 22 different flare definitions were used. Flares were included as the primary outcome in 17 studies (65%). Only four studies (15%) used a patient-reported flare definition. No studies fulfilled all of our pre-specified essential characteristics. No validation studies were identified. The wide variation and lack of validation of flare definitions hampers comparison of findings between studies for this chronic, relapsing disease. None of the currently used definitions seem fit for purpose. Further research should establish which aspects of worsening of disease are most important to patients, and how best to capture these data in a way that is valid, reliable and feasible in all clinical and research settings."
34,"AM. Thompson, A. Chan, M. Torabi, B. Kromenacker, KN. Price, JL. Hsiao and VY. Shi, ","""Eczema moisturizers: Allergenic potential, marketing claims, and costs."", ",Dermatologic therapy ,33(6) ,(Nov. 2020). ,PUBMED: 32844562; ,DOI 10.1111/dth.14228.,
35,"S. Ward, ","""Eczema and dry skin in older people: identification and management."", ",British journal of community nursing ,10(10) ,(Oct. 2005). ,PUBMED: 16234740; ,,"Skin conditions affect up to 70% of older people. Among the commonest are those which are caused by or present as dry, itchy skin. This article discusses the three most common of these--asteatotic, gravitational and discoid eczemas--and offers straightforward advice that nurses can pass on to their patients for how to mitigate and manage these conditions. Central to this is avoidance of soaps and the use of emollients."
36,"J. Karvonen, ","""Nummular eczema."", ",Duodecim; laaketieteellinen aikakauskirja ,117(11) ,(2001). ,PUBMED: 12116713; ,,
37,"E. Weisshaar and K. Eyerich, ","""Hand eczema: still a diagnostic and therapeutic challenge."", ","Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete ",70(10) ,(Oct. 2019). ,PUBMED: 31555885; ,DOI 10.1007/s00105-019-04477-2.,
38,"JM. Lachapelle, ","""Occupational eczema."", ",La Revue du praticien ,48(9) ,(May. 1998). ,PUBMED: 11767354; ,,"Cases of occupational allergic contact dermatitis are less frequent nowadays than in the past: for instance the prevalence of allergic contact dermatitis to cement chromates is decreasing steadily among building workers. On the other hand, new haptens do occur in our environment, due to the diversification of industrial techniques; e.g. methylchloro- and methylisothiazolinone (MCI/MI) present as a preservative in paints or varnishes, acrylates and methacrylates, or, at the hospital, glutaraldehyde, propacetamol or various antibiotics. A new entity has been clinically characterized: protein contact dermatitis. The prevention of occupational allergic contact dermatitis is multidisciplinary. It includes all aspects of prevention: primary, secondary and tertiary."
39,"IuIa. Ashmarin, ","""Microbial eczema."", ",Voenno-meditsinskii zhurnal ,,(Feb. 1980). ,PUBMED: 7376522; ,,
40,"S. Lawton, ","""Living with eczema: the dermatology patient."", ",British journal of nursing (Mark Allen Publishing) ,5(10) ,,PUBMED: 8717825; ,,"This article gives an overview of eczema, including its assessment, the needs of patients with eczema and the management of eczema. The prevalence of all forms of eczema is unknown but there is evidence that atopic eczema is increasing. Nurses can play a vital role in the management of this condition by giving patients time for explanation and discussion."
41,"TL. Diepgen, T. Agner, W. Aberer, J. Berth-Jones, F. Cambazard, P. Elsner, J. McFadden and PJ. Coenraads, ","""Management of chronic hand eczema."", ",Contact dermatitis ,57(4) ,(Oct. 2007). ,PUBMED: 17868211; ,,"Hand eczema (HE) is one of the most frequent skin diseases and has often a chronically relapsing course with a poor prognosis resulting in a high social and economic impact for the individual and the society. In this article, we highlight the results of an expert workshop on the 'management of severe chronic hand eczema' with the focus on the epidemiology, the burden of severe HE, its classification and diagnostic procedures, and the current status of treatment options according to an evidence-based approach (randomized controlled clinical trials, RCTs). We conclude that despite the abundance of topical and systemic treatment options, disease management in patients with severe chronic HE is frequently inadequate. There is a strong need for RCTs of existing and new treatment options based on clearly diagnosed subtypes of HE and its severity."
42,"RS. Kirsner and S. Hu, ","""Hand eczema prognosis."", ",The Journal of investigative dermatology ,127(9) ,(Sep. 2007). ,PUBMED: 17700608; ,,
43,"WCG. Fong, ","""Just another eczema case for you, but to me it's the world."", ",BMJ (Clinical research ed.) ,374 ,(Jul. 2021). ,PUBMED: 34233888; ,DOI 10.1136/bmj.n1531.,
44,"J. Freire de Carvalho, C. Pithon Pereira and M. Betania Pereira Torales, ","""Nummular Eczema Successfully Treated with a Gluten-free Diet: First Description."", ",The Israel Medical Association journal : IMAJ ,23(5) ,(May. 2021). ,PUBMED: 34024054; ,,
45,"B. Halioua and MA. Richard, ","""Update on chronic hand eczema."", ",Annales de dermatologie et de venereologie ,137(4) ,(Apr. 2010). ,PUBMED: 20417371; ,DOI 10.1016/j.annder.2010.02.023.,
46,"M. Lindberg, B. Meding, B. Stenberg and A. Svensson, ","""Hand eczema--a widespread disease that affects quality of life and work capacity. Earlier treatment and better follow-up desirable."", ",Lakartidningen ,110(4) ,,PUBMED: 23427722; ,,
47,"W. Jamil, Å. Svensson, A. Josefson, M. Lindberg and L. Von Kobyletzki, ","""Incidence Rate of Hand Eczema in Different Occupations: A Systematic Review and Meta-analysis."", ",Acta dermato-venereologica ,102 ,(Mar. 2022). ,PUBMED: 35098319; ,DOI 10.2340/actadv.v102.360.,"Hand eczema is a chronic disease that results in economic and psychosocial burdens. The aim of this study was to systematically review and assess the magnitude of the association between exposure related to occupations and the incidence rate of hand eczema. A systematic search in PubMed, EMBASE, CINAHL and Cochrane databases, from inception to September 2017, of full-text observational studies reporting incident cases of hand eczema during employment, and a supplementary search in PubMed to September 2020, were conducted. Among 2,417 screened abstracts, 15 studies fulfilled the inclusion criteria. Incidence rates were reported per 100 person-years. Based on the Newcastle-Ottawa Scale, 9 studies were good quality, 2 fair quality, and 4 poor quality. Hairdressers had a high incidence of hand eczema of 21.4 (95% confidence interval [CI] 15.3-27.4), as did nurses, 16.9 (95% CI 11.2-22.7), and metal workers, 12.4 (95% CI 3.5-21.3). Hairdressers were predominantly women, and metal worker were predominantly men. Office occupations had an incidence rate of hand eczema of 4.9 (95% CI 1.2-9.6). The high risk of hand eczema for hairdressers, nurses, and metal workers, should be considered by healthcare policymakers. Even occupations with low irritant profile, such as office workers, were at risk of developing hand eczema, and more occupations should be investigated regarding the related risk of developing hand eczema."
48,"RJ. Rycroft, ","""Eczema--1."", ",Nursing times ,73(13) ,(Mar. 1977). ,PUBMED: 140367; ,,
49,"J. Watts, ","""Eczema and the family."", ",Community nurse ,3(8) ,(Sep. 1997). ,PUBMED: 9469024; ,,
50,"OP. Salo, ","""Atopic eczema."", ",Duodecim; laaketieteellinen aikakauskirja ,97(9) ,(1981). ,PUBMED: 7274138; ,,
51,"S. Santiago, ","""Food Allergies and Eczema."", ",Pediatric annals ,44(7) ,(Jul. 2015). ,PUBMED: 26171700; ,DOI 10.3928/00904481-20150710-04.,"Eczema is one of the most common skin conditions of childhood. Patients with eczema suffer in a chronic cycle of itch, scratch, and inflammation. For children with severe eczema, constant itching and scratching can have many consequences including skin infections, behavioral issues, and sleep problems. Parents often find themselves searching for a trigger for their child's eczema flare, and after they have switched detergents, applied a thick moisturizer and topical steroids, and removed all wool clothing from their child's wardrobe, they wonder, ""Could food allergies be playing a role?"""
52,"L. Grant, L. Seiding Larsen, K. Burrows, DV. Belsito, E. Weisshaar, T. Diepgen, J. Hahn-Pedersen, OE. Sørensen and R. Arbuckle, ","""Development of a Conceptual Model of Chronic Hand Eczema (CHE) Based on Qualitative Interviews with Patients and Expert Dermatologists."", ",Advances in therapy ,37(2) ,(Feb. 2020). ,PUBMED: 31956966; ,DOI 10.1007/s12325-019-01164-5.,"Chronic hand eczema (CHE) is a relapsing inflammatory dermatologic disease. Signs and symptoms can have a significant impact on patients' health-related quality of life (HRQoL). The aim of this study is to characterize the core signs, symptoms and impacts of CHE to develop a conceptual model."
53,"S. Lawton, ","""Assessing and treating adult patients with eczema."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,23(43) ,,PUBMED: 19634607; ,,Eczematous conditions are common in all age ranges; this article focuses on conditions that affect adults. The principles of assessment and the use of emollients and topical corticosteroids covered in the article apply to the majority of eczematous conditions.
54,"C. Flohr, ","""Recent perspectives on the global epidemiology of childhood eczema."", ",Allergologia et immunopathologia ,39(3) ,(2011). ,PUBMED: 21601133; ,DOI 10.1016/j.aller.2011.02.004.,"The International Study of Asthma and Allergies in Childhood (ISAAC) is the largest epidemiological study ever performed and the only truly global allergy study. This review summarises the childhood eczema-related findings from ISAAC and discusses how these fit into our current understanding of eczema aetiology, with particular emphasis on worldwide time trends in eczema prevalence, climatic and dietary risk factors, breastfeeding, the role of skin barrier impairment and allergic sensitisation."
55,"A. Hüls, MJ. Abramson, D. Sugiri, K. Fuks, U. Krämer, J. Krutmann and T. Schikowski, ","""Nonatopic eczema in elderly women: Effect of air pollution and genes."", ",The Journal of allergy and clinical immunology ,143(1) ,(Jan. 2019). ,PUBMED: 30336226; ,DOI 10.1016/j.jaci.2018.09.031.,"Although many risk factors have been described for atopic eczema in children, little is known about the eczema phenotype in middle-aged or elderly adults."
56,"P. Buchanan and M. Courtenay, ","""Topical treatments for managing patients with eczema."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,21(41) ,,PUBMED: 17633342; ,,This article describes the management of patients with eczema and emphasises how to assess the skin and prescribe treatments appropriately.
57,"J. Robinson, ","""The management of eczema in children."", ",Community practitioner : the journal of the Community Practitioners' & Health Visitors' Association ,88(9) ,(Sep. 2015). ,PUBMED: 26489250; ,,"Eczema is very common in children and impacts significantly on the quality of life of children and their families and carers. Poor adherence remains the main cause of treatment failure. Rigorous and consistent use of treatments is key to relieving symptoms, but many parents experience significant barriers to application. Community practitioners are ideally placed to educate parents in the use of emollients, and where necessary topical corticosteroids, identify and discuss problems and help parents to develop strategies to overcome difficulties. Food allergy is associated with eczema, particularly in infants and the risk increases with severity. Community practitioners need to be confident in its recognition and management."
58,"Y. Jia, Y. Huang, H. Wang and H. Jiang, ","""Effect of Prenatal Omega-3 Polyunsaturated Fatty Acid Supplementation on Childhood Eczema: A Systematic Review and Meta-Analysis."", ",International archives of allergy and immunology ,184(1) ,(2023). ,PUBMED: 36244339; ,DOI 10.1159/000526366.,"It is uncertain about the effect of omega-3 polyunsaturated fatty acid (ω-3 PUFA) supplementation during pregnancy on the incidence of eczema among children. The aim of this review was to test if there is an effect of ω-3 PUFA supplementation during pregnancy on the risk of eczema among children of different ages. Two authors independently carried out the selection of published works, data extraction, and evaluation of the likelihood of bias. The PubMed, Medline, the Cochrane Library, Web of Science, and Embase databases updated to the date of March 2021 have been researched thoroughly for literature review. Quality Assessment of studies was evaluated using the updated tool (Rob2) provided by the Cochrane collaboration group. Six unique randomized controlled trials from 7 studies including 1,646 mother-infant pairs were contained in this review. Pooled data showed no pronounced decline in the incidence of eczema (RR = 1.09, 95% CI = 0.82~1.46, p = 0.54) or IgE-associated eczema (RR = 0.67; 95% CI = 0.29~1.57; p = 0.34). However, the subgroup analyses on ""IgE-associated eczema"" showed a significant decrease among the ""≤3-year-old children"" (RR = 0.70; 95% CI = 0.50~0.96; p = 0.03) in the ω-3 PUFAs group compared with the placebo. Supplementing the maternal diet with ω-3 PUFAs during pregnancy cannot reduce the danger of eczema or IgE-associated eczema among all children; however, there may be a subgroup-specific effect on 3-year-old or even younger children in reducing the incidence of IgE-associated eczema."
59,"GM. Bol'shakova, ","""Eczema."", ",Fel'dsher i akusherka ,46(2) ,(1981). ,PUBMED: 6451455; ,,
60,"M. Weinberger and E. Ekwo, ","""Prevention of eczema."", ","Lancet (London, England) ",1(8015) ,(Apr. 1977). ,PUBMED: 66585; ,,
61,"JK. Chen, G. Honari and JI. Silverberg, ","""Eczema, targeted therapeutics, and allergy diagnostics: the need for greater clarity on what we are treating."", ",Journal of the European Academy of Dermatology and Venereology : JEADV ,34(9) ,(Sep. 2020). ,PUBMED: 32277506; ,DOI 10.1111/jdv.16445.,
